Pallets;Materials;Quantity
WARD EELEN 950 x 950 aangepast;950 x 98 x 17 ;11
WARD EELEN 950 x 950 aangepast;Balk 950 x 30 x 90;3
ALPHA / ARTIMPEX 820 x 620 HT ISPM 15 ;HT/KD 800 x 98 x 17 ;6
ALPHA / ARTIMPEX 820 x 620 HT ISPM 15 ;balk 620 x 73 x 93;2
Aubvoye 1140 x 1140 HT ISPM 15 (18 hoog);1140 x 98 x 24;18
Aubvoye 1140 x 1140 HT ISPM 15 (18 hoog);balk 1140 x 90 x 74;3
BARRY CALLEBAUT 1220 x 1015 HT/KD ISPM 15 (22 hoog);HT/KD Balk met poortjes 1220 x 35 x 95;3
BARRY CALLEBAUT 1220 x 1015 HT/KD ISPM 15 (22 hoog);HT/KD 1015 x 75 x 16;8
BARRY CALLEBAUT 1220 x 1015 HT/KD ISPM 15 (22 hoog);HT/KD 1015 x 100 x 16;8
CITRIQUE 1140 x 1140 HT/KD ISPM 15 (Coke);balk 1140 x 38 x 90;4
CITRIQUE 1140 x 1140 HT/KD ISPM 15 (Coke);HT/KD 1140 x 75 x 17;6
CITRIQUE 1140 x 1140 HT/KD ISPM 15 (Coke);HT/KD 1140 x 98 x 17 ;9
DDB 1485 x 1200 Licht (22 hoog);balk 1200 x 75 x 35;3
DDB 1485 x 1200 Licht (22 hoog);1485 x 95 x 21;3
DDB 1485 x 1200 Licht (22 hoog);1485 x 95 x 17;7
DDB 1485 x 1200 Zwaar (22 hoog);1485 x 95 x 21;12
DDB 1485 x 1200 Zwaar (22 hoog);balk 1200 x 75 x 35;4
EASTMAN VATEN 1145 x 1145 HT/KD ISPM 15 (21 hoog);balk 1145 x 95 x 50;1
EASTMAN VATEN 1145 x 1145 HT/KD ISPM 15 (21 hoog);balk 1145 x 95 x 35 ;2
EASTMAN VATEN 1145 x 1145 HT/KD ISPM 15 (21 hoog);1140 x 133 x 17 ;4
EASTMAN VATEN 1145 x 1145 HT/KD ISPM 15 (21 hoog);1140 x 78 x 17 ;10
Fuchs Oils (81912) 1160 x 1140  (22 Hoog);1160 x 95 x 17;10
Fuchs Oils (81912) 1160 x 1140  (22 Hoog);balk 1140 x 45 x 90;3
GOUDA 1100 x 800 HT ISPM 15 (Genest 42 hoog);Balk 800 x 65 x 95;3
GOUDA 1100 x 800 HT ISPM 15 (Genest 42 hoog);1100 x 98 x 22;6
GOUDA 1100 x 950 HT ISPM 15 (24 hoog);balk 950 x 65 x 95;3
GOUDA 1100 x 950 HT ISPM 15 (24 hoog);PRS4 1100 x 98 x 22 ;6
Gouda 1150 x 1040 HT ISPM 15;balk 1150 x 75 x 95;3
Gouda 1150 x 1040 HT ISPM 15;1040 x 98 x 22;14
Gouda 1250 x 1100 HT Geel;balk 1250 x 75 x 95 GV;3
Gouda 1250 x 1100 HT Geel;1100 x 98 x 20 ;15
GOUDA 1300 x 1120 HT ISPM 15;1120 x 100 x 22;15
GOUDA 1300 x 1120 HT ISPM 15;balk 1300 x 75 x 95 GV;3
GOUDA 1300 x 1150 HT ISPM 15;balk 1300 x 75 x 95 GV;3
GOUDA 1300 x 1150 HT ISPM 15;1150 x 95 x 21;15
GOUDA 1300 x 1170 HT ISPM 15;balk 1300 x 75 x 95 GV;3
GOUDA 1300 x 1170 HT ISPM 15;1170 x 98 x 21;15
GOUDA 1300 x 1370 HT ISPM 15;1370 x 98 x 21;15
GOUDA 1300 x 1370 HT ISPM 15;balk 1300 x 75 x 95 GV;3
Gouda 1300 x 550 22 hoog;1300 x 135 x 20;4
Gouda 1300 x 550 22 hoog;balk 550 x 70 x 90;3
Gouda 1300 x 550 I (72 hoog);Gouda 1300 x 550 23 hoog I;1
GOUDA 1400 x 920 HT ISPM 15;920 x 98 x 21;16
GOUDA 1400 x 920 HT ISPM 15;balk 1400 x 70 x 95;3
GOUDA 1470 x 940 HT ISPM 15;940 x 98 x 21;17
GOUDA 1470 x 940 HT ISPM 15;balk 1470 x 75 x 95 GV;3
JBF 1000 x 1000 HT/KD ISPM 15 (GESTRAPT + GENEST) 49 PALLETS;HT/KD Balk 1000 x 38 x 68;3
JBF 1000 x 1000 HT/KD ISPM 15 (GESTRAPT + GENEST) 49 PALLETS;HT/KD 1000 x 98 x 19 ;6
KOSTEN 1260 x 840 HT/KD ISPM 15 (PEFC STEMPEL);HT/KD 1260 x 100 x 16;6
KOSTEN 1260 x 840 HT/KD ISPM 15 (PEFC STEMPEL);balk 840 x 55 x 75;4
MOUTERIJ 1100 x 1100 HT ISPM 15  (25 hoog);balk 1100 x 45 x 70;3
MOUTERIJ 1100 x 1100 HT ISPM 15  (25 hoog);PRS4 1100 x 98 x 22 ;14
Rosier 1100 x 1100 HT ISPM 15 (21 hoog) NAT/GROENE BALKEN;1100 x 98 x 17 ;14
Rosier 1100 x 1100 HT ISPM 15 (21 hoog) NAT/GROENE BALKEN;balk 1100 x 93 x 40;3
Rosier 1100 x 1100 HT/KD ISPM 15 (21 hoog) DROOG;HT/KD Balk 1100 x 93 x 40;3
Rosier 1100 x 1100 HT/KD ISPM 15 (21 hoog) DROOG;HT/KD 1100 x 98 x 17 ;14
ROSIER 1400 x 1150 25 HOOG;1400 x 98 x 17 ;15
ROSIER 1400 x 1150 25 HOOG;balk 1150 x 90 x 35 ;4
ROSIER 1400 x 1150 HT ISPM 15 25 HOOG;1400 x 98 x 17 ;15
ROSIER 1400 x 1150 HT ISPM 15 25 HOOG;balk 1150 x 90 x 35 ;4
Sacamat 1200 x 1000 (25 hoog);1200 x 110 x 17;14
Sacamat 1200 x 1000 (25 hoog);balk 1000 x 45 x 85;3
SADACI 1000 x 1000 HT 22 hoog;balk 1000 x 45 x 85;3
SADACI 1000 x 1000 HT 22 hoog;1000 x 98 x 20 ;12
SADACI 1000 x 1000 HT MET POORTJES;1000 x 98 x 20 ;12
SADACI 1000 x 1000 HT MET POORTJES;balk 1000 x 48 x 98 met poortjes;3
SADACI 900 x 900 HT ISPM 15 (22 hoog);balk 900 x 40 x 90;3
SADACI 900 x 900 HT ISPM 15 (22 hoog);900 x 98 x 17 ;12
SADACI 960 x 960 HT ISPM 15 (22 hoog);960 x 98 x 21;12
SADACI 960 x 960 HT ISPM 15 (22 hoog);balk 960 x 90 x 40;3
UMICORE 1000 x 1000 HT/KD ISPM 15 20 Hoog (hoeken eraf);balk 1000 x 48 x 98 met poortjes;3
UMICORE 1000 x 1000 HT/KD ISPM 15 20 Hoog (hoeken eraf);HT/KD 1000 x 98 x 19 ;14
UMICORE ANDRIES (zonder Stempel 20 hoog);HT/KD 1000 x 98 x 19 ;14
UMICORE ANDRIES (zonder Stempel 20 hoog);balk 1000 x 48 x 98 met poortjes;3
URSA 1200 x 1170 (24 hoog, Groene markering);balk 1170 x 30 x 90;3
URSA 1200 x 1170 (24 hoog, Groene markering);1200 x 73 x 14 ;6
URSA 1200 x 1170 (24 hoog, Groene markering);1200 x 78 x 17 ;3
WARD EELEN 1000 x 950 aangepast;1000 x 98 x 17 ;11
WARD EELEN 1000 x 950 aangepast;Balk 950 x 30 x 90;3
WARD EELEN 1100 x 1100 (25 hoog);balk 1100 x 95 x 53;3
WARD EELEN 1100 x 1100 (25 hoog);1100 x 98 x 17 ;7
Ward Eelen 1100 x 950 HT ISPM 15 (25 hoog);1100 x 98 x 17 ;7
Ward Eelen 1100 x 950 HT ISPM 15 (25 hoog);balk 950 x 60 x 90;3
WARD EELEN 1200 x 650;balk 650 x 46 x 63;3
WARD EELEN 1200 x 650;1200 x 78 x 17 ;7
Ward Eelen 1250 x 650 HT (26 hoog);balk 650 x 46 x 63;3
Ward Eelen 1250 x 650 HT (26 hoog);1250 x 75 x 17;7
XELLA  1200 x 1000 (24 hoog);balk 1000 x 55 x 85;3
XELLA  1200 x 1000 (24 hoog);1200 x 98 x 25;7
XELLA 1000 x 900 (22 hoog);1000 x 90 x 20;18
XELLA 1000 x 900 (22 hoog);balk 900 x 100 x 80;3
XELLA YTONG 1200 x 1000 (24 hoog);1200 x 98 x 25;7
XELLA YTONG 1200 x 1000 (24 hoog);Balk 990 x 85 x 55;3
A&R 1200 x 1000 HT/KD ISPM 15 (19 Hoog EKA);HT/KD 1200 x 100 x 22 BC;3
A&R 1200 x 1000 HT/KD ISPM 15 (19 Hoog EKA);HT/KD 1000 x 100 x 22 BC;3
A&R 1200 x 1000 HT/KD ISPM 15 (19 Hoog EKA);HT/KD 1200 x 75 x 20 ;9
A&R 1200 x 1000 HT/KD ISPM 15 (19 Hoog EKA);spaan 95 x 95 x 78;9
Aalter Expo 2000x1000             ;HT/KD 1000 x 98 x 19 ;3
Aalter Expo 2000x1000             ;2000 x 100 x 16;5
Aalter Expo 2000x1000             ;klos 75 x 95 x 95;9
ARCELOR MITTAL 1200 x 1000 (20 HOOG);spaan 95 x 95 x 78;9
ARCELOR MITTAL 1200 x 1000 (20 HOOG);1200 x 98 x 17 ;10
ARCELOR MITTAL 1200 x 1000 (20 HOOG);1000 x 98 x 20 ;3
ARTECO 1200 X 1000 21 hoog;1000 x 98 x 20 ;3
ARTECO 1200 X 1000 21 hoog;1200 x 98 x 20 ;5
ARTECO 1200 X 1000 21 hoog;1200 x 75 x 21 ;4
ARTECO 1200 X 1000 21 hoog;spaan 90 x 135 x 78;6
ARTECO 1200 X 1000 21 hoog;spaan 90 x 90 x 78;3
ARTECO 1200 X 1000 21 hoog;HT/KD 800 x 98 x 20;3
ARTECO 1200 x 1000 HT ISPM 15 (20 hoog);spaan 90 x 90 x 78;3
ARTECO 1200 x 1000 HT ISPM 15 (20 hoog);spaan 90 x 135 x 78;6
ARTECO 1200 x 1000 HT ISPM 15 (20 hoog);HT/KD 800 x 98 x 20;3
ARTECO 1200 x 1000 HT ISPM 15 (20 hoog);1200 x 75 x 21 ;4
ARTECO 1200 x 1000 HT ISPM 15 (20 hoog);1200 x 98 x 20 ;5
ARTECO 1200 x 1000 HT ISPM 15 (20 hoog);1000 x 98 x 20 ;3
ARTECO 1200 x 1200 ZWAAR HT ISPM15 (010) 20 HOOG;1200 x 143 x 21 ;9
ARTECO 1200 x 1200 ZWAAR HT ISPM15 (010) 20 HOOG;1200 x 98 x 21 INC;3
ARTECO 1200 x 1200 ZWAAR HT ISPM15 (010) 20 HOOG;spaan 145 x 100 x 78;9
ARTECO 1200 x 1200 ZWAAR HT ISPM15 (010) 20 HOOG;1000 x 98 x 22;3
ARTECO 1200 x 600 18 HT HOOG MAXIMAAL ;600 x 95 x 22;3
ARTECO 1200 x 600 18 HT HOOG MAXIMAAL ;1200 x 98 x 21 INC;6
ARTECO 1200 x 600 18 HT HOOG MAXIMAAL ;spaan 95 x 95 x 78;9
ARTECO 1200 x 600 18 HT HOOG MAXIMAAL ;1200 x 75 x 21 ;2
ARTOIS 1140 x 800 HT ISPM 15 (22 hoog);1140 x 98 x 17 ;3
ARTOIS 1140 x 800 HT ISPM 15 (22 hoog);800 x 98 x 21;3
ARTOIS 1140 x 800 HT ISPM 15 (22 hoog);spaan 95 x 95 x 78;9
ARTOIS 1140 x 800 HT ISPM 15 (22 hoog);1140 x 78 x 17 ;7
ARTOIS PC 1200 x 1000 (22 hoog) met stempel;1000 x 98 x 20 ;3
ARTOIS PC 1200 x 1000 (22 hoog) met stempel;1200 x 98 x 20 ;3
ARTOIS PC 1200 x 1000 (22 hoog) met stempel;1200 x 78 x 17 ;7
ARTOIS PC 1200 x 1000 (22 hoog) met stempel;spaan 95 x 95 x 78;9
ARTOIS PC 1200 x 1000 (22 hoog) Zonder Stempel;spaan 95 x 95 x 78;9
ARTOIS PC 1200 x 1000 (22 hoog) Zonder Stempel;1000 x 98 x 20 ;3
ARTOIS PC 1200 x 1000 (22 hoog) Zonder Stempel;1200 x 78 x 17 ;7
ARTOIS PC 1200 x 1000 (22 hoog) Zonder Stempel;1200 x 98 x 20 ;3
ARTOIS SFK 1200 x 1100 (21 hoog);1200 x 98 x 17 ;6
ARTOIS SFK 1200 x 1100 (21 hoog);PRS 1100 x 100 x 16;8
ARTOIS SFK 1200 x 1100 (21 hoog);spaan 90 x 90 x 90;9
ARTOIS SFK 1200 x 1200 (21 hoog);spaan 90 x 90 x 90;9
ARTOIS SFK 1200 x 1200 (21 hoog);1200 x 98 x 17 ;14
ARTOIS SFK 1400 x 1000 Cape 5 (20 hoog);1000 x 98 x 17 ;7
ARTOIS SFK 1400 x 1000 Cape 5 (20 hoog);1400 x 98 x 17 ;6
ARTOIS SFK 1400 x 1000 Cape 5 (20 hoog);spaan 90 x 90 x 90;9
AVEVE 1300 X 1100 KD gedroogd ;1100 x 145 x 23;3
AVEVE 1300 X 1100 KD gedroogd ;1300 x 143 x 23;3
AVEVE 1300 X 1100 KD gedroogd ;spaan 145 x 145 x 78;9
AVEVE 1300 X 1100 KD gedroogd ;1100 x 98 x 17 ;9
BARRY CALLEBAUT (0898) 1120 x 930 ISPM 15 KD/HT 14 HOOG GESTRAPT (AFGESCHUINDE HOEKEN);HT/KD 1120 x 98 x 17 ;10
BARRY CALLEBAUT (0898) 1120 x 930 ISPM 15 KD/HT 14 HOOG GESTRAPT (AFGESCHUINDE HOEKEN);spaan 95 x 95 x 78;9
BARRY CALLEBAUT (0898) 1120 x 930 ISPM 15 KD/HT 14 HOOG GESTRAPT (AFGESCHUINDE HOEKEN);HT/KD 930 x 98 x 19;3
BARRY CALLEBAUT (5085) 1140 x 1140 ISPM 15 KD/HT 14 HOOG GESTRAPT (AFGESCHUINDE HOEKEN;spaan 95 x 95 x 78;9
BARRY CALLEBAUT (5085) 1140 x 1140 ISPM 15 KD/HT 14 HOOG GESTRAPT (AFGESCHUINDE HOEKEN;HT/KD 1140 x 98 x 19 ;15
BARRY CALLEBAUT (9500) 1200 x 1000 ISPM15 KD/HT 14 hoog GESTRAPT (AFGESCHUINDE HOEKEN 22mm);spaan 95 x 95 x 78;9
BARRY CALLEBAUT (9500) 1200 x 1000 ISPM15 KD/HT 14 hoog GESTRAPT (AFGESCHUINDE HOEKEN 22mm);HT/KD 1200 x 100 x 22 BC;10
BARRY CALLEBAUT (9500) 1200 x 1000 ISPM15 KD/HT 14 hoog GESTRAPT (AFGESCHUINDE HOEKEN 22mm);HT/KD 1000 x 100 x 22 BC;3
BARRY CALLEBAUT (9500) 1200 x 1000 ISPM15 KD/HT 19 hoog  (AFGESCHUINDE HOEKEN 22mm);HT/KD 1200 x 100 x 22 BC;10
BARRY CALLEBAUT (9500) 1200 x 1000 ISPM15 KD/HT 19 hoog  (AFGESCHUINDE HOEKEN 22mm);HT/KD 1000 x 100 x 22 BC;3
BARRY CALLEBAUT (9500) 1200 x 1000 ISPM15 KD/HT 19 hoog  (AFGESCHUINDE HOEKEN 22mm);spaan 95 x 95 x 78;9
BARRY CALLEBAUT (9501) 1120 x 900 ISPM 15 KD/HT 14 HOOG GESTRAPT (AFGESCHUINDE HOEKEN);spaan 95 x 95 x 78;9
BARRY CALLEBAUT (9501) 1120 x 900 ISPM 15 KD/HT 14 HOOG GESTRAPT (AFGESCHUINDE HOEKEN);HT/KD 1120 x 98 x 17 ;10
BARRY CALLEBAUT (9501) 1120 x 900 ISPM 15 KD/HT 14 HOOG GESTRAPT (AFGESCHUINDE HOEKEN);HT/KD 900 x 98 x 22 ;3
BARRY CALLEBAUT (9508) 1120 x 800 ISPM 15 HT/KD 14 HOOG  GESTRAPT (AFGESCHUINDE HOEKEN);HT/KD 1120 x 98 x 17 ;9
BARRY CALLEBAUT (9508) 1120 x 800 ISPM 15 HT/KD 14 HOOG  GESTRAPT (AFGESCHUINDE HOEKEN);spaan 95 x 95 x 78;9
BARRY CALLEBAUT (9508) 1120 x 800 ISPM 15 HT/KD 14 HOOG  GESTRAPT (AFGESCHUINDE HOEKEN);HT/KD 800 x 98 x 20;3
BARRY CALLEBAUT 1200 x 800 EKA ISPM 15 HT/KD  (ONGENEST) FRANKRIJK  (20 Hoog);HT/KD 1200 x 75 x 20 ;3
BARRY CALLEBAUT 1200 x 800 EKA ISPM 15 HT/KD  (ONGENEST) FRANKRIJK  (20 Hoog);HT/KD 800 x 98 x 20;3
BARRY CALLEBAUT 1200 x 800 EKA ISPM 15 HT/KD  (ONGENEST) FRANKRIJK  (20 Hoog);spaan 75 x 95 x 78;9
BARRY CALLEBAUT 1200 x 800 EKA ISPM 15 HT/KD  (ONGENEST) FRANKRIJK  (20 Hoog);HT/KD 1200 x 74 x 17 ;7
BARRY CALLEBAUT 1200 x 800 EKA ISPM 15 HT/KD 14 HOOG GESTRAPT;HT/KD 1200 x 74 x 17 ;7
BARRY CALLEBAUT 1200 x 800 EKA ISPM 15 HT/KD 14 HOOG GESTRAPT;spaan 75 x 95 x 78;9
BARRY CALLEBAUT 1200 x 800 EKA ISPM 15 HT/KD 14 HOOG GESTRAPT;HT/KD 800 x 98 x 20;3
BARRY CALLEBAUT 1200 x 800 EKA ISPM 15 HT/KD 14 HOOG GESTRAPT;HT/KD 1200 x 75 x 20 ;3
BARRY CALLEBAUT 600 x 800  HT/KD (14 HOOG GESTRAPT);HT/KD 800 x 75 x 17;6
BARRY CALLEBAUT 600 x 800  HT/KD (14 HOOG GESTRAPT);HT/KD 600 x 75 x 19;6
BARRY CALLEBAUT 600 x 800  HT/KD (14 HOOG GESTRAPT);spaan 75 x 75 x 78;6
BRACKE 1200 x 800 HT/KD ISPM 15;HT/KD 1200 x 100 x 20 ;11
BRACKE 1200 x 800 HT/KD ISPM 15;klos 95 x 135 x 90;9
BRACKE 1200 x 800 HT/KD ISPM 15;HT/KD 800 x 98 x 20;3
BRACKE 600 x 700;HT/KD 700 x 98 x 19;5
BRACKE 600 x 700;balk 600 x 50 x 100;3
BROOM 116 x 116 HT/KD (18 hoog);HT/KD 1160 x 75 x 20;4
BROOM 116 x 116 HT/KD (18 hoog);HT/KD 1160 x 98 x 20;5
BROOM 116 x 116 HT/KD (18 hoog);HT/KD 1160 x 123 x 20;3
BROOM 116 x 116 HT/KD (18 hoog);spaan 90 x 135 x 78;9
BROOM 116 x 116 HT/KD (18 hoog);HT/KD 960 x 98 x 21 ;3
BROOM 120 x 1000 SPAANKLOS  ispm15 HT/KD 18 hoog;spaan 75 x 95 x 78;9
BROOM 120 x 1000 SPAANKLOS  ispm15 HT/KD 18 hoog;HT/KD 1200 x 100 x 20 ;1
BROOM 120 x 1000 SPAANKLOS  ispm15 HT/KD 18 hoog;HT/KD 1000 x 98 x 17 ;3
BROOM 120 x 1000 SPAANKLOS  ispm15 HT/KD 18 hoog;HT/KD 1000 x 74 x 17 ;8
BROOM 120 x 1000 SPAANKLOS  ispm15 HT/KD 18 hoog;HT/KD 1200 x 123 x 20;2
BROOM 120 x 1000 SPAANKLOS  ispm15 HT/KD 18 hoog;HT/KD 900 x 98 x 17;3
BROOM 120 x 1000 SPAANKLOS  ispm15 HT/KD 18 hoog;HT/KD 1160 x 98 x 17 ;3
BURBAN 1100 x 1100 HT ISPM 15 (import);Burban 1100 x 1100 HT import;1
CALDERYS 1200 x 1000 HT  (21 Hoog);spaan 90 x 90 x 78;3
CALDERYS 1200 x 1000 HT  (21 Hoog);spaan 90 x 135 x 78;6
CALDERYS 1200 x 1000 HT  (21 Hoog);1000 x 98 x 17 ;3
CALDERYS 1200 x 1000 HT  (21 Hoog);1000 x 98 x 20 ;5
CALDERYS 1200 x 1000 HT  (21 Hoog);1200 x 78 x 17 ;7
CAPPELLE 1200 x 1000 KD/HT ISPM 15 SPAANKLOS 19 HOOG;HT/KD 1000 x 74 x 17 ;1
CAPPELLE 1200 x 1000 KD/HT ISPM 15 SPAANKLOS 19 HOOG;HT/KD 1000 x 98 x 17 ;2
CAPPELLE 1200 x 1000 KD/HT ISPM 15 SPAANKLOS 19 HOOG;HT/KD 1200 x 74 x 17 ;4
CAPPELLE 1200 x 1000 KD/HT ISPM 15 SPAANKLOS 19 HOOG;HT/KD 1200 x 98 x 17 ;6
CAPPELLE 1200 x 1000 KD/HT ISPM 15 SPAANKLOS 19 HOOG;spaan 75 x 95 x 78;9
CARGILL 1200 x 1000 HT/KD (UPPA0020-002 TRINEO 18 hoog);HT/KD 1200 x 133 x 17 ;3
