Pallets;Materials;Quantity
DEINZE 1200 x 1000 HT/KD ISPM 15 14 hoog (DD);HT/KD 1045 x 74 x 20 ;3
DEINZE 1200 x 1000 HT/KD ISPM 15 14 hoog (DD);HT/KD 1000 x 98 x 19 ;2
DEINZE 1200 x 1000 HT/KD ISPM 15 14 hoog (DD);HT/KD 1200 x 74 x 17 ;11
DEINZE 1200 x 1000 HT/KD ISPM 15 14 hoog (DD);spaan 78 x 133 x 90;6
DICALITE 1200x1000 HT ISPM 15 22 HOOG;1000 x 78 x 17 ;3
DICALITE 1200x1000 HT ISPM 15 22 HOOG;1200 x 98 x 17 ;3
DICALITE 1200x1000 HT ISPM 15 22 HOOG;1200 x 73 x 14 ;9
DICALITE 1200x1000 HT ISPM 15 22 HOOG;spaan 75 x 95 x 78;9
DICALITE 1350 x 870 20 HOOG;spaan 75 x 95 x 78;9
DICALITE 1350 x 870 20 HOOG;1350 x 78 x 17 ;7
DICALITE 1350 x 870 20 HOOG;1300 x 98 x 20 ;3
DICALITE 1350 x 870 20 HOOG;870 x 98 x 17;3
DICALITE 1350 x 870 HT ISPM 15 20 HOOG;870 x 98 x 17;3
DICALITE 1350 x 870 HT ISPM 15 20 HOOG;1300 x 98 x 20 ;3
DICALITE 1350 x 870 HT ISPM 15 20 HOOG;1350 x 78 x 17 ;7
DICALITE 1350 x 870 HT ISPM 15 20 HOOG;spaan 75 x 95 x 78;9
DICALITE 1500 x 1000 DUBBELDEKS;spaan 75 x 75 x 90;3
DICALITE 1500 x 1000 DUBBELDEKS;1000 x 78 x 17 ;6
DICALITE 1500 x 1000 DUBBELDEKS;1495 x 73 x 17 ;14
DICALITE 1500 x 1000 DUBBELDEKS;spaan 78 x 133 x 90;6
DICALITE 1500 x 1000 HT ISPM15 22 HOOG;spaan 78 x 133 x 90;6
DICALITE 1500 x 1000 HT ISPM15 22 HOOG;1495 x 73 x 17 ;9
DICALITE 1500 x 1000 HT ISPM15 22 HOOG;845 x 73 x 17 ;3
DICALITE 1500 x 1000 HT ISPM15 22 HOOG;1000 x 78 x 17 ;3
DICALITE 1500 x 1000 HT ISPM15 22 HOOG;spaan 75 x 75 x 90;3
DUVEL 1200 x 1000 KD/HT ISPM 15 21 HOOG (L82);HT/KD 1000 x 98 x 19 ;3
DUVEL 1200 x 1000 KD/HT ISPM 15 21 HOOG (L82);HT/KD 1200 x 100 x 20 ;10
DUVEL 1200 x 1000 KD/HT ISPM 15 21 HOOG (L82);spaan 95 x 95 x 78;9
DUVEL 1200 x 800 KD/HT ISPM15 21 HOOG ;spaan 95 x 95 x 78;9
DUVEL 1200 x 800 KD/HT ISPM15 21 HOOG ;HT/KD 1200 x 100 x 20 ;10
DUVEL 1200 x 800 KD/HT ISPM15 21 HOOG ;HT/KD 800 x 98 x 20;3
DUVEL 1200 x 900 KD/HT ISPM15 21 HOOG (L72EXP);HT/KD 1200 x 100 x 20 ;10
DUVEL 1200 x 900 KD/HT ISPM15 21 HOOG (L72EXP);HT/KD 900 x 98 x 22 ;3
DUVEL 1200 x 900 KD/HT ISPM15 21 HOOG (L72EXP);spaan 95 x 95 x 78;9
E2SE 1200 x 1000 KD HT  (18 Hoog);spaan 95 x 95 x 78;9
E2SE 1200 x 1000 KD HT  (18 Hoog);HT/KD 1200 x 100 x 20 ;7
E2SE 1200 x 1000 KD HT  (18 Hoog);HT/KD 1000 x 98 x 19 ;3
E2SE 1200 x 1000 KD HT  (18 Hoog);HT/KD 1200 x 100 x 20 Eka;3
E2SE CALAIS 1200 x 800 HT/KD ISPM 15 (17 hoog) ;HT/KD 800 x 98 x 17 ;3
E2SE CALAIS 1200 x 800 HT/KD ISPM 15 (17 hoog) ;spaan 95 x 95 x 78;9
E2SE CALAIS 1200 x 800 HT/KD ISPM 15 (17 hoog) ;HT/KD 1200 x 98 x 17 ;10
E2SE CLERMONT 1200 x 800 HT/KD ISPM 15 (31 hoog genest);1200 x 78 x 17 ;8
E2SE CLERMONT 1200 x 800 HT/KD ISPM 15 (31 hoog genest);spaan 75 x 75 x 78;9
E2SE CLERMONT 1200 x 800 HT/KD ISPM 15 (31 hoog genest);800 x 78 x 17;3
E2SE CLERMONT 800 x 800 HT/KD ISPM 15 (31 hoog genest);800 x 78 x 17;11
E2SE CLERMONT 800 x 800 HT/KD ISPM 15 (31 hoog genest);spaan 75 x 75 x 78;9
EASTMAN ZAKKEN SPAANKLOS KD/HT ISPM 15 (19 hoog);spaan 75 x 75 x 90;3
EASTMAN ZAKKEN SPAANKLOS KD/HT ISPM 15 (19 hoog);HT/KD 1200 x 98 x 17 ;8
EASTMAN ZAKKEN SPAANKLOS KD/HT ISPM 15 (19 hoog);HT/KD 1000 x 98 x 17 ;2
EASTMAN ZAKKEN SPAANKLOS KD/HT ISPM 15 (19 hoog);HT/KD 1000 x 74 x 17 ;1
EASTMAN ZAKKEN SPAANKLOS KD/HT ISPM 15 (19 hoog);spaan 78 x 133 x 90;6
EASTMAN ZAKKEN SPAANKLOS KD/HT ISPM 15 (19 hoog);HT/KD 1045 x 74 x 20 Eastman;3
EASTMAN ZAKKEN SPAANKLOS KD/HT ISPM 15 (19 hoog);HT/KD 1000 x 74 x 20 Eastman;2
EURO PALLET EPAL HT/KD ISPM 15 (19 hoog);1200 x 100 x 22;4
EURO PALLET EPAL HT/KD ISPM 15 (19 hoog);spaan 145 x 100 x 78;6
EURO PALLET EPAL HT/KD ISPM 15 (19 hoog);800 x 143 x 20;3
EURO PALLET EPAL HT/KD ISPM 15 (19 hoog);1200 x 143 x 21 ;4
EURO PALLET EPAL HT/KD ISPM 15 (19 hoog);spaan 145 x 145 x 78;3
EURO PALLET GEBRUIKT;Euro-pallet;1
EURO PALLET KD/HT ISPM15 I;europallet ispm 15 HT KD (import);1
Fuchs 1200 x 1200 19 hoog;spaan 90 x 135 x 78;9
Fuchs 1200 x 1200 19 hoog;1200 x 123 x 21 ;8
Fuchs 1200 x 1200 19 hoog;1000 x 98 x 20 ;3
Fuchs 1200 x 1200 19 hoog;1200 x 98 x 20 ;5
Fuchs Oils (238354) 1200 x 800 HT ISPM 15 (19 hoog);800 x 98 x 21;3
Fuchs Oils (238354) 1200 x 800 HT ISPM 15 (19 hoog);1200 x 98 x 21 INC;9
Fuchs Oils (238354) 1200 x 800 HT ISPM 15 (19 hoog);spaan 90 x 90 x 90;9
Fuchs Oils 1140 x 1140 (20 hoog);990 x 75 x 21;3
Fuchs Oils 1140 x 1140 (20 hoog);spaan 133 x 78 x 78;9
Fuchs Oils 1140 x 1140 (20 hoog);1140 x 78 x 21 ;2
Fuchs Oils 1140 x 1140 (20 hoog);1140 x 98 x 20 NAALD;10
HOLLIDAY 1140 x 1140 HT/KD (17 hoog gestrapt);HT/KD 1140 x 98 x 17 ;14
HOLLIDAY 1140 x 1140 HT/KD (17 hoog gestrapt);klos 75 x 133 x 90;6
HOLLIDAY 1140 x 1140 HT/KD (17 hoog gestrapt);HT/KD 944 x 100 x 16;3
HOLLIDAY 1140 x 1140 HT/KD (17 hoog gestrapt);klos 75 x 95 x 90;3
HOLLIDAY 1200 x 1000 HT/KD HOUTENKLOSSEN (17 hoog gestrapt);klos 75 x 95 x 90;3
HOLLIDAY 1200 x 1000 HT/KD HOUTENKLOSSEN (17 hoog gestrapt);klos 75 x 133 x 90;6
HOLLIDAY 1200 x 1000 HT/KD HOUTENKLOSSEN (17 hoog gestrapt);HT/KD 1200 x 98 x 17 ;7
HOLLIDAY 1200 x 1000 HT/KD HOUTENKLOSSEN (17 hoog gestrapt);HT/KD 1000 x 98 x 17 ;8
HUBER 1100 x 1100 HT/KD ISPM 15  20 hoog;spaan 95 x 95 x 78;9
HUBER 1100 x 1100 HT/KD ISPM 15  20 hoog;HT/KD 1100 x 98 x 17 ;13
HUBER 1200 x 1000 HT/KD ISPM 15 20 HOOG;spaan 75 x 75 x 90;9
HUBER 1200 x 1000 HT/KD ISPM 15 20 HOOG;HT/KD 1200 x 74 x 17 ;3
HUBER 1200 x 1000 HT/KD ISPM 15 20 HOOG;HT/KD 1000 x 74 x 17 ;3
HUBER 1200 x 1000 HT/KD ISPM 15 20 HOOG;HT/KD 1200 x 75 x 15;7
HZPC 1200 x 1000 HT ISPM 15 (houten klos 27 hoog genest);1200 x 98 x 21 INC;3
HZPC 1200 x 1000 HT ISPM 15 (houten klos 27 hoog genest);klos 95 x 95 x 78;9
HZPC 1200 x 1000 HT ISPM 15 (houten klos 27 hoog genest);1000 x 98 x 20 ;3
HZPC 1200 x 1000 HT ISPM 15 (houten klos 27 hoog genest);1200 x 78 x 17 ;9
ICL 1140 x 890 HT/KD (gestrapt /EKA 20 hoog);HT/KD 1140 x 98 x 17 ;3
ICL 1140 x 890 HT/KD (gestrapt /EKA 20 hoog);spaan 95 x 95 x 78;9
ICL 1140 x 890 HT/KD (gestrapt /EKA 20 hoog);HT/KD 890 x 98 x 20;3
ICL 1140 x 890 HT/KD (gestrapt /EKA 20 hoog);HT/KD 1140 x 95 x 20 eka;3
ICL 1140 x 890 HT/KD (gestrapt /EKA 20 hoog);HT/KD 1140 x 118 x 17;4
IMERYS 1100 x 1100 ISPM15 HT 22 HOOG;1100 x 98 x 20 ;3
IMERYS 1100 x 1100 ISPM15 HT 22 HOOG;1100 x 133 x 17 ;3
IMERYS 1100 x 1100 ISPM15 HT 22 HOOG;1100 x 75 x 17 ;6
IMERYS 1100 x 1100 ISPM15 HT 22 HOOG;spaan 133 x 78 x 78;9
IMERYS 1100 x 1100 ISPM15 HT 22 HOOG;1100 x 98 x 17 ;3
IMERYS 1200 x 900 GESTRAPT (22 hoog);900 x 98 x 17 ;3
IMERYS 1200 x 900 GESTRAPT (22 hoog);1200 x 98 x 17 ;10
IMERYS 1200 x 900 GESTRAPT (22 hoog);spaan 95 x 95 x 78;9
IMERYS DK 1200 x 1000 HT ISPM 15 (20 hoog);1200 x 98 x 17 ;5
IMERYS DK 1200 x 1000 HT ISPM 15 (20 hoog);1000 x 98 x 20 ;3
IMERYS DK 1200 x 1000 HT ISPM 15 (20 hoog);1200 x 133 x 17;5
IMERYS DK 1200 x 1000 HT ISPM 15 (20 hoog);1000 x 98 x 17 ;3
IMERYS DK 1200 x 1000 HT ISPM 15 (20 hoog);klos 95 x 95 x 75;9
INEOS 1100 x 1100 HT (Houten klos 20 hoog);klos 095x95x95;3
INEOS 1100 x 1100 HT (Houten klos 20 hoog);Klos 95 x 145 x 95;6
INEOS 1100 x 1100 HT (Houten klos 20 hoog);900 x 98 x 17 ;3
INEOS 1100 x 1100 HT (Houten klos 20 hoog);1100 x 98 x 17 ;5
INEOS 1100 x 1100 HT (Houten klos 20 hoog);1100 x 75 x 17 ;7
IVC 1200 x 800 HT ISPM 15 (21 hoog Winddroog) + strappen;1200 x 73 x 14 ;7
IVC 1200 x 800 HT ISPM 15 (21 hoog Winddroog) + strappen;800 x 98 x 17;3
IVC 1200 x 800 HT ISPM 15 (21 hoog Winddroog) + strappen;spaan 95 x 95 x 78;9
IVC 1200 x 800 HT ISPM 15 (21 hoog Winddroog) + strappen;1200 x 98 x 21 INC;3
JBF Global 1100 x 1100 HT/KD ISPM 15 (22 HOOG) ;spaan 90 x 90 x 78;9
JBF Global 1100 x 1100 HT/KD ISPM 15 (22 HOOG) ;HT/KD 1100 x 98 x 17 ;13
KATOEN NATIE 1200 x 1000 HT/KD VERZWAARD 21 hoog (stempel K);spaan 75 x 95 x 78;9
KATOEN NATIE 1200 x 1000 HT/KD VERZWAARD 21 hoog (stempel K);HT/KD 1000 x 98 x 19 ;3
KATOEN NATIE 1200 x 1000 HT/KD VERZWAARD 21 hoog (stempel K);HT/KD 1200 x 100 x 20 ;6
KATOEN NATIE 1200 x 1000 HT/KD VERZWAARD 21 hoog (stempel K);HT/KD 1200 x 75 x 20 ;4
Kosten 1200 x 1000 HT ISPM 15 (17 hoog STEMPEL LANGE KANT) TYPE 6;1045 x 75 x 20;3
Kosten 1200 x 1000 HT ISPM 15 (17 hoog STEMPEL LANGE KANT) TYPE 6;1000 x 75 x 20;2
Kosten 1200 x 1000 HT ISPM 15 (17 hoog STEMPEL LANGE KANT) TYPE 6;spaan 78 x 133 x 90;6
Kosten 1200 x 1000 HT ISPM 15 (17 hoog STEMPEL LANGE KANT) TYPE 6;spaan 75 x 75 x 90;3
Kosten 1200 x 1000 HT ISPM 15 (17 hoog STEMPEL LANGE KANT) TYPE 6;1000 x 78 x 17 ;1
Kosten 1200 x 1000 HT ISPM 15 (17 hoog STEMPEL LANGE KANT) TYPE 6;1000 x 98 x 17 ;2
Kosten 1200 x 1000 HT ISPM 15 (17 hoog STEMPEL LANGE KANT) TYPE 6;1200 x 78 x 17 ;9
LABO 1200 x 1000 HT/KD (GENEST 2x15 HOOG);1200 x 98 x 17 ;10
LABO 1200 x 1000 HT/KD (GENEST 2x15 HOOG);1000 x 98 x 17 ;3
LABO 1200 x 1000 HT/KD (GENEST 2x15 HOOG);spaan 95 x 95 x 78;9
NEMOS 1150 x 950 HT/KD ISPM 15 (klos 78 22 hoog);HT/KD 1140 x 98 x 17 ;7
NEMOS 1150 x 950 HT/KD ISPM 15 (klos 78 22 hoog);spaan 90 x 90 x 78;3
NEMOS 1150 x 950 HT/KD ISPM 15 (klos 78 22 hoog);spaan 90 x 135 x 78;6
NEMOS 1150 x 950 HT/KD ISPM 15 (klos 78 22 hoog);HT/KD 950 x 100 x 16;8
NEMOS 1150 x 950 HT/KD ISPM 15 (klos 95 21 hoog);HT/KD 944 x 100 x 16;8
NEMOS 1150 x 950 HT/KD ISPM 15 (klos 95 21 hoog);HT/KD 1140 x 98 x 17 ;7
NEMOS 1150 x 950 HT/KD ISPM 15 (klos 95 21 hoog);spaan 90 x 135 x 95;6
NEMOS 1150 x 950 HT/KD ISPM 15 (klos 95 21 hoog);spaan 90 x 90 x 95;3
Nordpal 1000 x 600 HT ISPM 15 (20 hoog);spaan 95 x 95 x 78;9
Nordpal 1000 x 600 HT ISPM 15 (20 hoog);1000 x 98 x 17 ;3
Nordpal 1000 x 600 HT ISPM 15 (20 hoog);1000 x 78 x 17 ;2
Nordpal 1000 x 600 HT ISPM 15 (20 hoog);1000 x 98 x 20 ;3
Nordpal 1000 x 600 HT ISPM 15 (20 hoog);600 x 95 x 22;3
NORDPAL 1200 x 1000 DIN (18 hoog);1200 x 98 x 17 ;7
NORDPAL 1200 x 1000 DIN (18 hoog);1200 x 143 x 21 ;3
NORDPAL 1200 x 1000 DIN (18 hoog);spaan 145 x 145 x 78;9
NORDPAL 1200 x 1000 DIN (18 hoog);1000 x 145 x 22 ;3
NUTRI PACK 1200 x 1000 (22 hoog) (HOUTENKLOS 17 mm);1200 x 78 x 17 ;10
NUTRI PACK 1200 x 1000 (22 hoog) (HOUTENKLOS 17 mm);1000 x 78 x 17 ;3
NUTRI PACK 1200 x 1000 (22 hoog) (HOUTENKLOS 17 mm);klos 75 x 75 x 78;9
NUTRI PACK 1200 x 1000 HT ISPM 15  (22 hoog) (HOUTENKLOS 17 mm);klos 75 x 75 x 78;9
NUTRI PACK 1200 x 1000 HT ISPM 15  (22 hoog) (HOUTENKLOS 17 mm);1200 x 78 x 17 ;10
NUTRI PACK 1200 x 1000 HT ISPM 15  (22 hoog) (HOUTENKLOS 17 mm);1000 x 78 x 17 ;3
NUTRILAC 1200 x 1100 (21 hoog);1200 x 143 x 21 ;3
NUTRILAC 1200 x 1100 (21 hoog);1100 x 98 x 20 ;3
NUTRILAC 1200 x 1100 (21 hoog);spaan 145 x 100 x 78;9
NUTRILAC 1200 x 1100 (21 hoog);1200 x 98 x 21 INC;9
NUTRILAC 1200 x 1100 HT ISPM 15 (21 hoog);1200 x 98 x 21 INC;9
NUTRILAC 1200 x 1100 HT ISPM 15 (21 hoog);spaan 145 x 100 x 78;9
NUTRILAC 1200 x 1100 HT ISPM 15 (21 hoog);1100 x 98 x 20 ;3
NUTRILAC 1200 x 1100 HT ISPM 15 (21 hoog);1200 x 143 x 21 ;3
NYNAS 1140 x 1140 HT ISPM 15 22 HOOG (Origin of Belgium);spaan 133 x 78 x 78;9
NYNAS 1140 x 1140 HT ISPM 15 22 HOOG (Origin of Belgium);1140 x 118 x 17 ;3
NYNAS 1140 x 1140 HT ISPM 15 22 HOOG (Origin of Belgium);1140 x 133 x 17 ;3
NYNAS 1140 x 1140 HT ISPM 15 22 HOOG (Origin of Belgium);1140 x 78 x 17 ;4
NYNAS 1140 x 1140 HT ISPM 15 22 HOOG (Origin of Belgium);1140 x 98 x 20 NAALD;3
NYNAS 1140 x 1140 HT ISPM 15 23 HOOG;1140 x 98 x 20 NAALD;3
NYNAS 1140 x 1140 HT ISPM 15 23 HOOG;1140 x 133 x 17 ;3
NYNAS 1140 x 1140 HT ISPM 15 23 HOOG;1140 x 78 x 17 ;4
NYNAS 1140 x 1140 HT ISPM 15 23 HOOG;1140 x 118 x 17 ;3
NYNAS 1140 x 1140 HT ISPM 15 23 HOOG;spaan 133 x 78 x 78;9
NYNAS 1200 x 1200 HT ISPM 15 22 HOOG;klos 75 x 133 x 90;9
NYNAS 1200 x 1200 HT ISPM 15 22 HOOG;1200 x 98 x 20 ;12
NYNAS 1200 x 1200 HT ISPM 15 22 HOOG;1200 x 132 x 22 ;3
OP9 1140 x 1140 HT/KD (18 hoog gestrapt);HT/KD 1140 x 75 x 17;6
OP9 1140 x 1140 HT/KD (18 hoog gestrapt);klos 100 x 95 x 63 HT ISPM 15;9
OP9 1140 x 1140 HT/KD (18 hoog gestrapt);HT/KD 1140 x 98 x 19 ;3
OP9 1140 x 1140 HT/KD (18 hoog gestrapt);HT/KD 1140 x 98 x 17 ;9
PEMA 1140 x 1000 KD/HT Type IJsland 1000 (21 hoog);HT/KD 1000 x 98 x 19 ;3
PEMA 1140 x 1000 KD/HT Type IJsland 1000 (21 hoog);HT/KD 1140 x 98 x 17 ;6
PEMA 1140 x 1000 KD/HT Type IJsland 1000 (21 hoog);spaan 75 x 95 x 78;9
PEMA 1140 x 1000 KD/HT Type IJsland 1000 (21 hoog);HT/KD 1140 x 75 x 17;6
PEMA 1140 x 800 KD/HT Type IJsland 800 (21 hoog);HT/KD 1140 x 75 x 17;4
PEMA 1140 x 800 KD/HT Type IJsland 800 (21 hoog);spaan 75 x 95 x 78;9
PEMA 1140 x 800 KD/HT Type IJsland 800 (21 hoog);HT/KD 800 x 98 x 17 ;3
PEMA 1140 x 800 KD/HT Type IJsland 800 (21 hoog);HT/KD 1140 x 98 x 17 ;3
PEMA 1140 x 800 KD/HT Type IJsland 800 (21 hoog);HT/KD 1140 x 98 x 19 ;3
PEMA PALLETS 1200 x 1000 HT Type C (18 hoog);1000 x 98 x 17 ;12
PEMA PALLETS 1200 x 1000 HT Type C (18 hoog);1200 x 98 x 17 ;3
PEMA PALLETS 1200 x 1000 HT Type C (18 hoog);element PEMA 1200 x 95 x 34;3
PEMA PALLETS 1200 x 1000 HT Type C (18 hoog);spaan 90 x 90 x 90;9
PEMA PALLETS 1200 x 1000 KD/HT Type 81A - 05 omloop (18 hoog);HT/KD 1040 x 98 x 20;3
PEMA PALLETS 1200 x 1000 KD/HT Type 81A - 05 omloop (18 hoog);HT/KD 1000 x 98 x 17 ;9
PEMA PALLETS 1200 x 1000 KD/HT Type 81A - 05 omloop (18 hoog);spaan 90 x 90 x 95;3
PEMA PALLETS 1200 x 1000 KD/HT Type 81A - 05 omloop (18 hoog);spaan 90 x 135 x 95;6
PEMA PALLETS 1200 x 1000 KD/HT Type 81A - 05 omloop (18 hoog);HT/KD 1200 x 100 x 20 ;3
PEMA PALLETS 1200 x 1000 KD/HT Type 81A - 05 omloop (18 hoog);HT/KD 1000 x 74 x 20;2
PEMA PALLETS 1200 x 1000 KD/HT Type D - M&J (17 hoog);spaan 145 x 100 x 78;9
PEMA PALLETS 1200 x 1000 KD/HT Type D - M&J (17 hoog);HT/KD 1200 x 100 x 20 ;4
PEMA PALLETS 1200 x 1000 KD/HT Type D - M&J (17 hoog);HT/KD 1200 x 100 x 20 Eka;3
